lambda_1,p_naive,p_stable
12.75,5.158779534259964e-06,5.154783556099229e-06
13.0,4.012089229989109e-06,4.009155539736554e-06
13.25,3.1204415877162684e-06,3.118285359242961e-06
13.5,2.427069552081457e-06,2.425483028525126e-06
13.75,1.8878522017806928e-06,1.8866836382080258e-06
14.0,1.4684945933835208e-06,1.4676330126336194e-06
14.25,1.142337311449209e-06,1.141701450645423e-06
14.5,8.886549020592952e-07,8.881851854269578e-07
14.75,6.913339192986758e-07,6.909866201105271e-07
15.0,5.378457804323865e-07,5.37588769047001e-07
15.25,4.1844860167655703e-07,4.1825824452991765e-07
15.5,3.255669078315909e-07,3.2542580286270553e-07
15.75,2.5330953202603793e-07,2.5320485283446916e-07
16.0,1.9709488714983888e-07,1.9701717077941069e-07
16.25,1.5335967214011158e-07,1.5330193059239723e-07
16.5,1.193324189038e-07,1.1928948718995658e-07
16.75,9.285743412793847e-08,9.282549136341403e-08
17.0,7.225791191551502e-08,7.223412915666405e-08
17.25,5.622949547410924e-08,5.621177649058808e-08
17.5,4.375750985975026e-08,4.374430012898099e-08
17.75,3.405259787759752e-08,3.4042743712877285e-08
18.0,2.6500664550208967e-08,2.649330910801459e-08
18.25,2.0623947289524834e-08,2.0618453732794297e-08
18.5,1.60507374373572e-08,1.6046632114347714e-08
18.75,1.2491829507471862e-08,1.2488759897060192e-08
19.0,9.722202477985004e-09,9.719906038689213e-09
19.25,7.566770191328461e-09,7.565051268838892e-09
19.5,5.889296562181227e-09,5.888009257650031e-09
19.75,4.583772373762832e-09,4.582807824806827e-09
20.0,3.5677067813765568e-09,3.566983712392367e-09
20.25,2.7769082020386904e-09,2.7763658985695515e-09
20.5,2.1614237928237765e-09,2.1610168746096926e-09
20.75,1.6823802254819502e-09,1.6820747551304753e-09
21.0,1.3095256278982713e-09,1.3092962120301222e-09
21.25,1.019317019534363e-09,1.0191446479272348e-09
21.5,7.934321442381748e-10,7.933025781072105e-10
21.75,6.176114968353561e-10,6.175140659882885e-10
22.0,4.807572579352911e-10,4.80683962557572e-10
22.25,3.7423212258217435e-10,3.7417696212608454e-10
22.5,2.9131366552411946e-10,2.912721370068134e-10
22.75,2.267697320638914e-10,2.267384548103488e-10
23.0,1.7652800323746347e-10,1.7650443805452594e-10
23.25,1.374188431515234e-10,1.3740108206336465e-10
23.5,1.0697517245545577e-10,1.0696178119324477e-10
23.75,8.327671893834127e-11,8.326661889134412e-11
24.0,6.482880265695768e-11,6.482118235710139e-11
24.25,5.046799657733691e-11,5.046224529801607e-11
24.5,3.928870272584974e-11,3.9284360647718934e-11
24.75,3.0586005861475083e-11,3.058272665537746e-11
25.0,2.381119537761036e-11,2.3808718098644037e-11
25.25,1.8537146618260447e-11,1.8535274585082716e-11
25.5,1.4431375695648167e-11,1.4429960612455823e-11
25.75,1.1235066627319238e-11,1.1233996642376874e-11
26.0,8.746746827636771e-12,8.745937548856106e-12
26.25,6.8095805440434535e-12,6.8089682767837666e-12
26.5,5.301478282019619e-12,5.3010149375472336e-12
26.75,4.127398055341726e-12,4.127047315793187e-12
27.0,3.213352666912313e-12,3.213087095640866e-12
27.25,2.5017449139204188e-12,2.5015437774106842e-12
27.5,1.947736423468212e-12,1.9475840490333037e-12
27.75,1.5164210558120886e-12,1.5163055928583273e-12
28.0,1.1806245823373534e-12,1.1805370677183116e-12
28.25,9.191918607777107e-13,9.19125513360659e-13
28.5,7.156534863451625e-13,7.156031744082265e-13
28.75,5.571878363201306e-13,5.571496753117891e-13
29.0,4.3381305860495447e-13,4.3378410726544805e-13
29.25,3.3775805798988723e-13,3.377360887123756e-13
29.5,2.6297282284899604e-13,2.629561480925349e-13
29.75,2.0474722214553064e-13,2.0473456318053782e-13
30.0,1.5941424250175432e-13,1.5940463013625828e-13
30.25,1.241189592684114e-13,1.2411165874204536e-13
30.5,9.663867993347314e-14,9.663313408020237e-14
30.75,7.524292429774757e-14,7.52387105221971e-14
31.0,5.858441712302761e-14,5.858121482461598e-14
31.25,4.5614223828094206e-14,4.561178972948012e-14
31.5,3.551568156399688e-14,3.5513831021215275e-14
31.75,2.7652962612856004e-14,2.7651555453319722e-14
32.0,2.1531029226156717e-14,2.1529959014974182e-14
32.25,1.6764456897183516e-14,1.676364279993617e-14
32.5,1.3053161910720119e-14,1.305254252314077e-14
