lambda_2,eps,p_naive,p_stable
2.5,4.641588833612782e-05,0.9998949051434888,0.9998949051434883
2.5,2.1544346900318867e-05,0.9999512181940513,0.9999512181940512
2.5,1e-05,0.9999773572555719,0.9999773572555725
2.5,4.641588833612782e-06,0.9999894901182177,0.9999894901182169
2.5,2.1544346900318865e-06,0.9999951217340592,0.9999951217340594
2.5,1e-06,0.9999977357071694,0.9999977357071697
2.5,4.641588833612782e-07,0.9999989490078598,0.9999989490078603
2.5,2.1544346900318867e-07,0.9999995121725522,0.9999995121725531
2.5,1e-07,0.9999997735705328,0.9999997735705336
2.5,4.641588833612782e-08,0.9999998949007453,0.9999998949007456
2.5,2.1544346900318866e-08,0.9999999512172464,0.9999999512172465
2.5,1e-08,0.9999999773570515,0.9999999773570514
2.5,4.641588833612792e-09,0.9999999894900742,0.9999999894900733
2.5,2.1544346900318866e-09,0.9999999951217243,0.9999999951217236
2.5,1e-09,0.9999999977357048,0.999999997735705
2.5,4.6415888336127913e-10,0.9999999989490067,0.9999999989490069
2.5,2.1544346900318867e-10,0.9999999995121711,0.999999999512172
2.5,1e-10,0.9999999997735706,0.9999999997735696
2.5,4.6415888336127916e-11,0.9999999998949011,0.9999999998949001
2.5,2.1544346900318868e-11,0.999999999951216,0.9999999999512164
2.5,1e-11,0.9999999999773569,0.9999999999773568
2.5,4.641588833612792e-12,0.9999999999894896,0.9999999999894893
2.5,2.1544346900318868e-12,0.9999999999951221,0.9999999999951221
2.5,1e-12,0.9999999999977354,0.9999999999977347
2.5,4.641588833612791e-13,0.999999999998948,0.9999999999989484
2.5,2.1544346900318868e-13,0.9999999999995121,0.9999999999995115
2.5,1e-13,0.9999999999997732,0.9999999999997731
2.5,4.6415888336127915e-14,0.9999999999998933,0.9999999999998939
2.5,2.1544346900318866e-14,0.9999999999999498,0.9999999999999503
2.5,1e-14,0.9999999999999759,0.999999999999976
2.5,4.641588833612791e-15,0.9999999999999893,0.9999999999999893
2.5,2.1544346900318867e-15,0.9999999999999938,0.9999999999999942
2.5,1e-15,0.9999999999999981,0.9999999999999973
3.5,1.0,0.021982679175385798,0.021982679175384153
3.5,0.4641588833612779,0.19323015999823395,0.19323015999823298
3.5,0.2154434690031884,0.479326120361913,0.4793261203619086
3.5,0.1,0.7150743255328702,0.7150743255328682
3.5,0.046415888336127795,0.8569468171251925,0.8569468171251885
3.5,0.021544346900318846,0.9311083035328424,0.9311083035328446
3.5,0.01,0.9674690451231923,0.9674690451232026
3.5,0.004641588833612782,0.9847792858796023,0.9847792858795945
3.5,0.0021544346900318843,0.9929088835089108,0.9929088835089214
3.5,0.001,0.9967029139927535,0.9967029139927526
3.5,0.0004641588833612782,0.9984684024415513,0.9984684024415593
3.5,0.00021544346900318845,0.9992888311168355,0.9992888311168415
3.5,0.0001,0.9996698476918896,0.9996698476918826
3.5,4.641588833612782e-05,0.9998467446012738,0.9998467446012781
3.5,2.1544346900318867e-05,0.9999288625011393,0.9999288625011475
3.5,1e-05,0.9999669803282841,0.9999669803282912
3.5,4.641588833612782e-06,0.9999846735033042,0.999984673503315
3.5,2.1544346900318865e-06,0.999992886043962,0.9999928860439714
3.5,1e-06,0.99999669798842,0.9999966979884158
3.5,4.641588833612782e-07,0.9999984673407634,0.9999984673407626
3.5,2.1544346900318867e-07,0.9999992886023367,0.9999992886023356
3.5,1e-07,0.9999996697983887,0.9999996697983983
3.5,4.641588833612782e-08,0.9999998467339732,0.9999998467339799
3.5,2.1544346900318866e-08,0.9999999288602084,0.9999999288602125
3.5,1e-08,0.999999966979841,0.9999999669798344
3.5,4.641588833612792e-09,0.999999984673394,0.999999984673397
3.5,2.1544346900318866e-09,0.9999999928860159,0.9999999928860204
3.5,1e-09,0.9999999966979709,0.9999999966979836
3.5,4.6415888336127913e-10,0.9999999984673282,0.9999999984673398
3.5,2.1544346900318867e-10,0.9999999992885902,0.999999999288602
