gamma,lambda_1,lambda_2,spacing,det_R,trace_R,sigma_estimate,distance_t0t1,distance_t1t2,p_spacing_naive,p_spacing_stable,p_tspacing_naive,p_tspacing_stable,valid
0.0,1.515096800483595,1.062030595403862,0.45306620507973294,-0.20349885667948317,-1.505273580876477,0.6290286569840701,0.4361501833449479,0.6995931699337826,0.6222990094110128,0.6222990094110128,0.41857059118112977,0.4185705911811301,True
0.0,1.2856227517082395,1.0676770739633699,0.21794567774486961,1.7850311951751998,-2.8406658862159984,0.7053758348082892,0.6574132353186408,0.7355022658013365,0.7790766874991624,0.7790766874991621,0.6763007406787939,0.6763007406787941,True
0.0,1.9151105017321919,1.7848149022904731,0.13029559944171876,1.4792874828953162,-2.5417880811167564,0.8046780205134477,0.3543841519586173,0.6547500212114615,0.7964406618584656,0.7964406618584654,0.8023980895917149,0.8023980895917154,True
0.0,1.891617859258186,1.6776062272004626,0.21401163205772344,-2.5957084158531325,-1.9257633484542631,1.1547002338930084,0.11896336106766275,0.3416965744842834,0.7489987369951069,0.7489987369951069,0.8616031089187371,0.8616031089187374,True
0.0,1.9284223981246669,1.614873717986886,0.3135486801377809,-0.7447882482486531,-1.5836658055347452,0.7694194321354119,0.10030289539321957,0.6889638989388757,0.6253569327397505,0.6253569327397502,0.6040385887076687,0.604038588707668,True
0.0,1.9966699448486915,1.2564420949144621,0.7402278499342294,1.3262214847841483,-2.645417695639509,0.8075993600501665,0.15033538151487247,0.7197008140574737,0.3217393099715615,0.32173930997156147,0.30053586381698016,0.30053586381698005,True
0.0,1.8105061040281554,1.6443044857457112,0.16620161828244417,-0.6431411627590617,0.11644842519876808,0.8727869973529323,0.9388622020284456,0.562347223602458,0.818775586290889,0.8187755862908885,0.8306362821865173,0.830636282186517,True
0.0,2.5461454623477873,1.440153124155446,1.1059923381923413,-0.676457500513454,-0.1876163589307428,0.6424730753882106,0.21922437082269913,0.35316372461739187,0.17454740066787847,0.17454740066787863,0.1314159092540491,0.13141590925405025,True
0.0,2.1915234033064355,1.2058990524156288,0.9856243508908067,0.14603681931256887,-1.588012443663283,0.6218511647220885,0.16572157978766455,0.6882016604754043,0.22842576690064056,0.22842576690064062,0.13021110311465328,0.1302111031146527,True
0.0,2.963748218739049,2.412650946932022,0.5510972718070271,0.7218325247821747,-1.7899985749642862,1.0084125357503901,0.7460213215093113,0.5809021083270409,0.24863930268278736,0.24863930268278678,0.48378478089044047,0.48378478089044097,True
0.0,2.336549023286541,2.1164720882918515,0.2200769349946894,-4.863899099495388,-2.171684689919109,1.3014390479771172,0.2953197838412129,0.7277501223686313,0.6879365721871888,0.687936572187188,0.9049637802969808,0.9049637802969807,True
0.0,1.8028327833105067,1.5138855792646255,0.28894720404588115,0.21804764361514295,-0.9960432401355038,0.7020904815204536,0.201120979156377,0.575126621283786,0.6623992566120382,0.6623992566120381,0.5957850682211133,0.595785068221114,True
0.0,3.7231324984174523,2.256167641307469,1.4669648571099834,-2.240995759464874,0.1916417614650492,1.1776591481065601,0.6999010506908904,0.22674543331853936,0.025246472699329357,0.025246472699329427,0.32157310068870004,0.3215731006886995,True
0.0,1.294447579999305,1.1779220193802342,0.11652556061907071,-0.4998703443136683,-1.5040323086123473,0.7017181704011529,0.10571096970385824,0.71497793120577,0.8949416605823245,0.8949416605823245,0.8312000273076386,0.8312000273076389,True
0.0,2.2245491008255067,1.2178976236594592,1.0066514771660475,-0.5831962660528558,0.5785706222134133,0.6478579621683189,0.4471966592240692,0.08698969863149775,0.3615388018893125,0.36153880188931214,0.195570508659495,0.19557050865949463,True
0.0,2.104971768418762,1.6795727298701266,0.42539903854863526,0.6905050742774335,-1.8306970892173275,0.8747087348016347,0.5978156151876746,0.6368644262496009,0.4784704396993145,0.4784704396993148,0.5328511190555745,0.5328511190555745,True
0.0,2.2852318773380076,1.9325039407462363,0.35272793659177126,-0.4627859390295374,-1.1417378057008323,0.8454290546778658,0.6240856275327376,0.5926653356447321,0.5219846991613195,0.5219846991613193,0.5942487422139618,0.5942487422139623,True
